run_id,task_id,family,split,policy,seed,status,success,hidden_passed,hidden_total,accounted_cost_usd,measured_inference_cost_usd,unconfirmed_reserve_usd,tokens,latency_s,tool_calls,attempts,decisions,provider_retries,escalations,regressions,unnecessary_edits_proxy,verification_calls,verification_elapsed_s,caught_supplemental_failures,success_after_supplemental_failure,supplemental_grader_disagreement,supplemental_grader_disagreement_direction,learned_decisions,fallback_decisions,stop_decisions,stop_fallback_decisions,stop_constraint_decisions,verify_decisions,non_stop_non_verify_decisions,non_stop_non_verify_learned_decisions,non_stop_non_verify_fallback_decisions,non_stop_non_verify_provider_retry_decisions,non_stop_non_verify_other_decisions
459c2d42fb8446f1b9bd70ddb615db12,apportionment-repair-2,apportionment,test,supervised_cost,17,completed,1,5,5,0.00014,0.00014,0.0,1492,18.970871,4,1,3,0,0,0,1,1,0.453175,0,False,False,,1,1,1,1,0,1,1,1,0,0,0
48b836fe027f4678aac706cff60f0c7e,geospatial-repair-2,geospatial,validation,adaptive,17,completed,1,5,5,0.00019,0.00019,0.0,2464,28.792132,5,2,4,0,0,0,0,1,0.503951,0,False,False,,2,0,1,0,1,1,2,2,0,0,0
49f75826d6d34cffb63116e702ed156e,graph_dependencies-repair-1,graph_dependencies,test,adaptive,17,completed,1,5,5,9.8e-05,9.8e-05,0.0,1262,12.174683,4,1,3,0,0,0,0,1,0.452404,0,False,False,,1,0,1,0,1,1,1,1,0,0,0
4a261b2570354bfba00b066dd0a9e149,apportionment-repair-1,apportionment,test,escalate_on_failure,17,completed,1,5,5,9.7e-05,9.7e-05,0.0,1362,6.165719,4,1,3,0,0,0,1,1,0.503366,0,False,False,,0,0,1,0,1,1,1,0,0,0,1
4b5a688f8a534b1788d7019f5714cd66,binary_protocol-repair-3,binary_protocol,validation,escalate_on_failure,17,completed,1,5,5,0.000117,0.000117,0.0,1493,6.718982,4,1,3,0,0,0,1,1,0.452171,0,False,False,,0,0,1,0,1,1,1,0,0,0,1
4c3fe3ccd1e747d6913aa43bbb6908f0,interpolation-repair-2,interpolation,test,escalate_on_failure,17,completed,0,4,5,0.000108,0.000108,0.0,1380,6.936025,4,1,3,0,0,0,1,1,0.452145,0,False,True,missed_failure,0,0,1,0,1,1,1,0,0,0,1
4c4d148cbc1b4fd78ec2590d9800435a,expression_engine-repair-3,expression_engine,test,static_router,17,completed,1,6,6,6.3e-05,6.3e-05,0.0,1098,3.955594,4,1,3,0,0,0,0,1,0.451879,0,False,False,,0,0,1,0,1,1,1,0,0,0,1
4cfab380222743288d8dbb068c4fe774,interpolation-repair-1,interpolation,test,supervised_cost,17,completed,0,4,5,0.000152,0.000152,0.0,1482,24.39025,4,1,3,0,0,0,1,1,0.503442,0,False,True,missed_failure,1,1,1,1,0,1,1,1,0,0,0
4d1364cc8243413991d2926a82bfe83c,edit_distance-repair-2,edit_distance,test,strong_only,17,completed,1,6,6,0.000129,0.000129,0.0,1451,18.599509,4,1,3,0,0,0,0,1,0.504844,0,False,False,,0,0,1,0,1,1,1,0,0,0,1
4d30fd0c52a841088d5c0dd178f63701,external_boltons_math-repair-1,external_boltons_math,external,supervised_cost,17,completed,1,6,6,0.000181,0.000181,0.0,3153,21.202813,4,1,3,0,0,0,0,1,0.452089,0,False,False,,1,1,1,1,0,1,1,1,0,0,0
