family,seed,policy,related_tasks,off_solved,on_solved,verify_minus_off_success_fraction,off_mean_cost_usd,on_mean_cost_usd,verify_minus_off_mean_cost_usd
interpolation,31,supervised_cost,3,1,0,-0.3333333333333333,0.00013366666666666667,0.0005430000000000001,0.0004093333333333334
interpolation,47,adaptive,3,1,0,-0.3333333333333333,0.00011833333333333334,0.00014466666666666667,2.6333333333333327e-05
interpolation,47,cheap_only,3,3,3,0.0,0.000105,0.00010466666666666667,-3.333333333333324e-07
interpolation,47,escalate_on_failure,3,3,3,0.0,0.00010866666666666666,0.00010966666666666667,1.0000000000000108e-06
interpolation,47,static_router,3,3,3,0.0,9.900000000000001e-05,0.000115,1.5999999999999996e-05
interpolation,47,strong_only,3,2,0,-0.6666666666666666,0.00011066666666666667,0.00014266666666666665,3.199999999999998e-05
interpolation,47,supervised_cost,3,1,0,-0.3333333333333333,0.00012233333333333334,0.00011933333333333332,-3.0000000000000187e-06
interpolation,73,adaptive,3,3,1,-0.6666666666666666,0.00010733333333333333,0.00011633333333333333,9.000000000000002e-06
interpolation,73,cheap_only,3,2,3,0.3333333333333333,9.3e-05,0.00012233333333333334,2.9333333333333346e-05
interpolation,73,escalate_on_failure,3,2,2,0.0,9.066666666666667e-05,0.00011066666666666667,1.9999999999999998e-05
interpolation,73,static_router,3,2,3,0.3333333333333333,0.000113,0.00011933333333333334,6.333333333333343e-06
interpolation,73,strong_only,3,2,1,-0.3333333333333333,0.00013533333333333333,0.00012,-1.533333333333333e-05
interpolation,73,supervised_cost,3,1,0,-0.3333333333333333,0.00013099999999999999,0.00017533333333333333,4.4333333333333345e-05
interpolation,101,adaptive,3,0,3,1.0,0.00014966666666666665,0.0005073333333333334,0.0003576666666666667
interpolation,101,cheap_only,3,2,2,0.0,0.00010733333333333333,0.00011,2.6666666666666728e-06
interpolation,101,escalate_on_failure,3,2,2,0.0,0.00010866666666666666,0.00011800000000000001,9.333333333333348e-06
interpolation,101,static_router,3,2,2,0.0,0.000108,0.00011233333333333333,4.333333333333335e-06
interpolation,101,strong_only,3,1,1,0.0,0.000129,0.00012933333333333335,3.333333333333595e-07
interpolation,101,supervised_cost,3,1,1,0.0,0.000128,0.00014333333333333334,1.5333333333333345e-05
tabular_join,31,adaptive,3,1,3,0.6666666666666666,0.0017563333333333333,0.000137,-0.0016193333333333333
tabular_join,31,cheap_only,3,3,3,0.0,0.000105,0.00010466666666666667,-3.333333333333324e-07
tabular_join,31,escalate_on_failure,3,3,3,0.0,0.00010433333333333333,0.00010933333333333334,5.000000000000013e-06
tabular_join,31,static_router,3,3,3,0.0,0.00010233333333333333,0.00011533333333333334,1.3000000000000004e-05
tabular_join,31,strong_only,3,3,3,0.0,0.0005376666666666667,0.000136,-0.00040166666666666665
tabular_join,31,supervised_cost,3,3,2,-0.3333333333333333,0.00014533333333333333,0.0005216666666666666,0.00037633333333333323
tabular_join,47,adaptive,3,3,3,0.0,0.0005473333333333333,0.000138,-0.00040933333333333327
tabular_join,47,cheap_only,3,3,3,0.0,0.00010433333333333333,9.666666666666667e-05,-7.666666666666659e-06
tabular_join,47,escalate_on_failure,3,3,3,0.0,0.00010766666666666668,0.00010966666666666667,1.9999999999999944e-06
tabular_join,47,static_router,3,3,3,0.0,9.533333333333334e-05,0.000107,1.1666666666666661e-05
tabular_join,47,strong_only,3,3,3,0.0,0.0005423333333333334,0.00013433333333333334,-0.00040800000000000005
tabular_join,47,supervised_cost,3,3,3,0.0,0.000132,0.000151,1.9e-05
tabular_join,73,adaptive,3,3,3,0.0,0.00013666666666666666,0.00013766666666666666,9.999999999999972e-07
tabular_join,73,cheap_only,3,3,3,0.0,0.00010133333333333333,0.00010566666666666667,4.333333333333335e-06
tabular_join,73,escalate_on_failure,3,3,3,0.0,0.000102,0.00010333333333333333,1.3333333333333296e-06
tabular_join,73,static_router,3,3,3,0.0,0.00010033333333333334,0.00010033333333333334,0.0
tabular_join,73,strong_only,3,3,3,0.0,0.00013033333333333332,0.00013033333333333335,2.710505431213761e-20
tabular_join,73,supervised_cost,3,3,3,0.0,0.00017099999999999998,0.000143,-2.7999999999999976e-05
tabular_join,101,adaptive,3,3,3,0.0,0.00013533333333333333,0.00016066666666666668,2.5333333333333344e-05
tabular_join,101,cheap_only,3,3,3,0.0,0.00010400000000000001,9.666666666666667e-05,-7.33333333333334e-06
tabular_join,101,escalate_on_failure,3,3,3,0.0,9.966666666666666e-05,9.766666666666666e-05,-1.9999999999999944e-06
tabular_join,101,static_router,3,3,3,0.0,0.000103,0.00010166666666666667,-1.3333333333333296e-06
tabular_join,101,strong_only,3,3,3,0.0,0.0005716666666666667,0.00012033333333333334,-0.00045133333333333337
tabular_join,101,supervised_cost,3,3,3,0.0,0.00013833333333333333,0.000148,9.666666666666667e-06
